"address","count"
"0xb42b20ddbeabdc2a288be7ff847ff94fb48d2579",401555
"0x2e05a304d3040f1399c8c20d2a9f659ae7521058",395685
"0x0031e147a79c45f24319dc02ca860cb6142fcba1",369731
"0x17bc58b788808dab201a9a90817ff3c168bf3d61",306610
"0x9862d074e33003726fa05c74f0142995f33a3250",206856
"0x6c3f07bfdfce0463457385129fed97f0992a111d",145958
"0x8c4b7870fc7dff2cb1e854858533ceddaf3eebf4",138981
"0x42da8a05cb7ed9a43572b5ba1b8f82a0a6e263dc",105582
"0x004bd3562a42c8a7394794849b8ff5ad71c527b2",84695
"0xbb50ce87be3443ed137df1dfdbf2fb0ca8c0a9e0",80690
"0xcdd37ada79f589c15bd4f8fd2083dc88e34a2af2",69126
"0xed212a4a2e82d5ee0d62f70b5dee2f5ee0f10c5d",68632
"0x822d9f6f6d1e0a9785a8dff3083858e2c888f078",59420
"0x86f855c130ccf3c3d306e56971e0a6b2c50fe13e",56130
"0x521db06bf657ed1d6c98553a70319a8ddbac75a3",46678
"0xaa3ee038335ba66417cf63f2ead0978cca66a1a2",46479
"0x0536806df512d6cdde913cf95c9886f65b1d3462",39033
"0x866f649cd9280d3dfa282372a3f5828839944959",36723
"0x58f56615180a8eea4c462235d9e215f72484b4a3",33767
"0xaa06234a864105b6191aad445e7ca1f79a8d5e96",31896
"0xab11204cfeaccffa63c2d23aef2ea9accdb0a0d5",26782
"0x174443351e21d47ed9ab51517a301107d92ede64",26589
"0xf2015a9160c9c9381ff99f19fc18e5af57cac8ed",25561
"0xeea5e6ea5998928352cf54425819436f80f95ae9",25093
"0xa2635b3d63b4e31976419865e1a81553bb347be3",23579
"0xe35f12181a2748285358b63cff25887410d0804b",22570
"0x09862ed5908c0a336f9f92e5ffeb9768deac6091",21637
"0xead6be34ce315940264519f250d8160f369fa5cd",21173
"0xd6c9710363cdb12eb585e817f431d44cfa442dde",19995
"0xa9a8bdaefb34ea98be19badb76bb686136412473",18268
"0x6b59210ade46b62b25e82e95ab390a7ccadd4c3a",18101
"0x731e6cc591b055001ccb9758008f636819df6152",17403
"0xd0d0fb67d2a37de67e1a794230bff37ee16737da",16665
"0x9d3de545f58c696946b4cf2c884fcf4f7914cb53",14917
"0xcf40d0d2b44f2b66e07cace1372ca42b73cf21a3",14895
"0x36b01066b7fa4a0fdb2968ea0256c848e9135674",14390
"0x4e3a20de4dc3baca80ace5e92e75c92d7fed40f1",14247
"0x48d466b7c0d32b61e8a82cd2bcf060f7c3f966df",13290
"0x744a51071df3b05cc78d1bee8cebd3018fbd095e",12511
"0x544c95080a81f25779e44fa715a881e69febfd37",11500
"0x165c27b635383fa2e39a05dd24f7e37a3ebb3848",11378
"0x31a2feb9b5d3b5f4e76c71d6c92fc46ebb3cb1c1",10360
"0x27447dbd2ee1bc2e2757cfbb6dc97fef8cbb9354",10000
"0xa2a8f158aed54ce9a73d41eeec23bf3a51b5654d",9969
"0xfbf2173154f7625713be22e0504404ebfe021eae",9840
"0x6bdd15d26ee026c0cb952e3d7fd7535cf7e1ef20",9786
"0x506c082ae6caabba8a37bd5a8b671aeac4f68164",9766
"0x795b83d7feb25e1f2368bf5b061ee1de7faebadd",9404
"0x13d0c7ada3f98eec232ed7e57fefc4c300f25095",9248
"0xa270f3ad1a7a82e6a3157f12a900f1e25bc4fbfd",8113
